window_miles,n_windows,covered_miles,episodes_in_complete_windows,mean_count,variance_count,dispersion_index,window_count_cv,replicate,total_miles,enough_windows_for_reliable_dispersion
100000.0,10,1000000.0,39130,3913.0,6840.666666666667,1.7481897947014227,0.021136806245323443,3,1000000.0,False
1000.0,2000,2000000.0,77103,38.5515,198.19144347173588,5.140952841568704,0.3651751107861128,3,2000000.0,True
5000.0,400,2000000.0,77103,192.7575,1064.2593421052632,5.521234411658499,0.16924367632683024,3,2000000.0,True
10000.0,200,2000000.0,77103,385.515,2173.12540201005,5.63694123966655,0.12092082832848286,3,2000000.0,True
25000.0,80,2000000.0,77103,963.7875,4814.447943037974,4.995341756391294,0.07199327964514708,3,2000000.0,True
50000.0,40,2000000.0,77103,1927.575,13065.891666666666,6.778408968090303,0.059300484474417145,3,2000000.0,True
100000.0,20,2000000.0,77103,3855.15,17465.397368421054,4.530406694530966,0.0342805637095164,3,2000000.0,False
1000.0,100,100000.0,3962,39.62,180.27838383838383,4.550186366440784,0.33888890989063775,4,100000.0,True
5000.0,20,100000.0,3962,198.1,1173.3578947368421,5.923058529716518,0.17291424563594857,4,100000.0,False
10000.0,10,100000.0,3962,396.2,1174.4,2.9641595153962648,0.0864955072815907,4,100000.0,False
25000.0,4,100000.0,3962,990.5,4838.333333333333,4.8847383476358734,0.0702252692255069,4,100000.0,False
50000.0,2,100000.0,3962,1981.0,13122,6.623927309439677,0.057824986649278494,4,100000.0,False
100000.0,1,100000.0,3962,3962.0,,,,4,100000.0,False
1000.0,200,200000.0,7859,39.295,186.1085175879397,4.736188257741181,0.3471729116852227,4,200000.0,True
5000.0,40,200000.0,7859,196.475,952.6147435897436,4.848529042319601,0.1570910172311498,4,200000.0,True
10000.0,20,200000.0,7859,392.95,1356.2605263157895,3.451483716289069,0.09372042898826498,4,200000.0,False
25000.0,8,200000.0,7859,982.375,2795.6964285714284,2.84585461618163,0.05382297560117172,4,200000.0,False
50000.0,4,200000.0,7859,1964.75,5230.25,2.662043516986894,0.03680899216986714,4,200000.0,False
100000.0,2,200000.0,7859,3929.5,2112.5,0.5376002035882428,0.011696638446908153,4,200000.0,False
1000.0,500,500000.0,19068,38.136,166.1417875751503,4.356560404215185,0.3379903497302579,4,500000.0,True
5000.0,100,500000.0,19068,190.68,918.2197979797979,4.815501352946287,0.15891620413864194,4,500000.0,True
10000.0,50,500000.0,19068,381.36,1861.1738775510205,4.880359443966385,0.11312493307134194,4,500000.0,True
25000.0,20,500000.0,19068,953.4,4588.5684210526315,4.812847095712851,0.07104989793337078,4,500000.0,False
50000.0,10,500000.0,19068,1906.8,6440.622222222222,3.377712514276391,0.04208804661742179,4,500000.0,False
100000.0,5,500000.0,19068,3813.6,18220.3,4.777716593245228,0.035395057549339096,4,500000.0,False
1000.0,1000,1000000.0,37749,37.749,155.57757657657658,4.121369482014797,0.3304213108378855,4,1000000.0,True
5000.0,200,1000000.0,37749,188.745,822.1306281407035,4.355774341787615,0.15191300629405674,4,1000000.0,True
10000.0,100,1000000.0,37749,377.49,1442.6968686868686,3.821814799562554,0.10061948572192515,4,1000000.0,True
25000.0,40,1000000.0,37749,943.725,3395.6403846153844,3.598124861178187,0.06174693217158984,4,1000000.0,True
50000.0,20,1000000.0,37749,1887.45,5349.523684210526,2.834259813086718,0.038750927490242844,4,1000000.0,False
100000.0,10,1000000.0,37749,3774.9,11037.433333333332,2.923900853885754,0.027830986162883833,4,1000000.0,False
1000.0,2000,2000000.0,75691,37.8455,179.83854902451225,4.75191367598558,0.35434568423115276,4,2000000.0,True
5000.0,400,2000000.0,75691,189.2275,989.484454887218,5.229073231360231,0.16623414582245544,4,2000000.0,True
10000.0,200,2000000.0,75691,378.455,1781.3647989949748,4.706939527803767,0.11152242020726379,4,2000000.0,True
25000.0,80,2000000.0,75691,946.1375,5012.04414556962,5.297373949948733,0.07482611339623109,4,2000000.0,True
50000.0,40,2000000.0,75691,1892.275,9939.383974358974,5.252610732773499,0.052686030934546026,4,2000000.0,True
100000.0,20,2000000.0,75691,3784.55,18683.628947368423,4.9368165164599285,0.03611739089414283,4,2000000.0,False
1000.0,100,100000.0,3615,36.15,160.99747474747474,4.453595428699163,0.35099524290925715,5,100000.0,True
5000.0,20,100000.0,3615,180.75,1352.828947368421,7.484530829147557,0.20349003094102497,5,100000.0,False
