factor,level,level_value,replicate,feasible,error,episodes_per_million_miles,unknown_time_fraction,total_unknown_episodes,total_events,duration_s_mean,duration_s_median,duration_s_p90,duration_mi_mean,inter_arrival_mi_mean,inter_arrival_s_mean,dispersion_index,episodes_element,episodes_hidden_triggering,episodes_full_scenario,wall_seconds
target_unknown_element_probability,0.002,0.002,1,True,,27236.493516547256,0.012053850306917819,54473,9999758,31.938001288831835,18.08874550461769,56.69146761745219,0.44358335123369547,36.714259040044816,2643.426650882584,6.068016638550453,16832,2027,35614,51.68303209997248
target_unknown_element_probability,0.002,0.002,2,True,,26531.999923627212,0.012104878813424853,53064,9998415,32.905777823121326,17.663616746664047,58.666638733446625,0.4570246919880065,37.6903261504846,2713.703482834359,7.001226545815161,14258,2936,35870,52.07036390004214
target_unknown_element_probability,0.002,0.002,3,True,,27698.99646501083,0.01235850556510854,55398,9998217,32.16946792011876,17.47868604399264,55.966927838884295,0.4467981655582292,36.10169319411018,2599.3219099752764,6.228296252191314,16758,2226,36414,50.93996679998236
target_unknown_element_probability,0.002,0.002,4,True,,28650.998825114904,0.012186876336904505,57302,10001741,30.683610252794967,17.88948468491435,57.35946694649756,0.42616125351187867,34.90255458413407,2512.983930057414,5.789338651654138,18383,2545,36374,52.05820780002978
target_unknown_element_probability,0.008,0.008,0,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0498118) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.008,0.008,1,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0498118) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.008,0.008,2,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0498118) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.008,0.008,3,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0498118) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.008,0.008,4,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0498118) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.016,0.016,0,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.100434) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.016,0.016,1,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.100434) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.016,0.016,2,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.100434) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.016,0.016,3,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.100434) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
target_unknown_element_probability,0.016,0.016,4,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.100434) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
transition_mode_conditional,conditional,,0,True,,20175.499436370774,0.01663727642619856,40351,9998505,59.71337388016659,33.545224487781525,104.79608495533466,0.8293524150024002,49.56474166255451,3568.6613997032177,1.0676911857246631,35361,4990,0,460.2283562000375
transition_mode_conditional,conditional,,1,True,,19399.995381969664,0.01633191652101604,38800,9999758,60.985579899224575,33.68128772266209,104.1891638122499,0.8470219430456234,51.54457326334701,3711.209274960083,0.9169041081697146,34428,4372,0,466.1608678000048
transition_mode_conditional,conditional,,2,True,,18138.999947786597,0.016328927797452555,36278,9998415,65.22370757891774,35.086994387209415,119.06966257989403,0.9058848274842656,55.12816240064585,3969.2276928457245,1.0862399543890688,30734,5544,0,447.66087820002576
transition_mode_conditional,conditional,,3,True,,19405.9975233763,0.016577525655222816,38812,9998217,61.896287564170905,33.067159835249186,104.50197037905455,0.8596706606144439,51.527972175745894,3710.0139966527636,1.0103925792002368,34264,4548,0,456.23465300002135
transition_mode_conditional,conditional,,4,True,,21029.999137627532,0.0169672988315122,42060,10001741,58.4674418059561,33.69218029920012,103.48401007801289,0.8120478028610041,47.55078893913578,3423.6568036174494,0.9534596424825028,36858,5202,0,461.8955260000075
unknown_proportion,0.05,0.05,0,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0785542) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
unknown_proportion,0.05,0.05,1,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0785542) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
unknown_proportion,0.05,0.05,2,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0785542) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
unknown_proportion,0.05,0.05,3,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0785542) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
unknown_proportion,0.05,0.05,4,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0785542) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
unknown_proportion,0.2,0.2,0,True,,39839.498887030975,0.02138919136480255,79679,9998505,38.86649212979414,21.580222591757774,69.5000065679662,0.5398123906908259,25.10013518891362,1807.2097336014242,4.1407327176678335,37886,5281,36512,50.816601799975615
unknown_proportion,0.2,0.2,1,True,,36657.99127382701,0.019602700866091755,73316,9999758,38.6713722720617,21.60131775587797,69.71038419473916,0.5371023926678158,27.27829986208142,1964.0375900693846,4.315685032177089,33288,4468,35560,49.791776500002015
unknown_proportion,0.2,0.2,2,True,,35535.99989770905,0.020143279443090568,71072,9998415,41.01036747272068,21.572665728628635,74.51418333575137,0.5695884371209439,28.140338769379422,2026.1043913949222,4.634129675844328,30367,5722,34983,49.253213900025
unknown_proportion,0.2,0.2,3,True,,37474.49521744642,0.020288509236219835,74949,9998217,39.15237794360288,21.283223755657673,70.2268005080521,0.5437830269949663,26.6845556536763,1921.2880070642059,4.305239053343543,33953,5140,35856,50.47029790002853
unknown_proportion,0.2,0.2,4,True,,38110.49843721132,0.019577283791927448,76221,10001741,37.16064025992499,21.160347513854504,67.64440675079823,0.5161200036093533,26.239481355778913,1889.2426576159019,4.822353657003348,34810,4623,36788,51.55456099996809
variance_duration.ego_maneuver,x0.25,0.25,0,True,,37617.49992408409,0.020596933734382355,75235,9999545,39.64278022398394,23.885386526584625,63.14899927079684,0.5505941697779614,26.583157273921802,1913.987323722283,4.769977020077459,34032,5133,36070,72.04008830001112
variance_duration.ego_maneuver,x0.25,0.25,1,True,,36562.99871495042,0.02022438481915739,73126,10000576,39.99984209989954,24.3627814874053,63.42924486845732,0.5555533624990788,27.350035418360925,1969.202550121712,4.381019777661933,34012,4346,34768,71.39279020001413
variance_duration.ego_maneuver,x0.25,0.25,2,True,,35842.49663270231,0.020383956262461186,71685,9998735,41.15995104108835,23.874386817216873,68.39608566313981,0.5716659866822749,27.898187045228543,2008.669467256182,4.850350307721912,30018,5654,36013,73.43288979999488
variance_duration.ego_maneuver,x0.25,0.25,3,True,,37027.49943458993,0.020482650195683013,74055,9999971,40.0351331702962,23.747199676930904,61.903354977071324,0.5560435162545007,27.005860209019186,1944.4219350492167,5.152979467589789,33361,4481,36213,74.17283610004233
